Mean PM2.5 North,Mean Happiness North
7.641784727,7.357272727
8.092498364,7.336363636
7.403864909,7.445454545
7.732933727,7.41
7.355820727,7.428181818
8.910221636,7.328181818
8.770176818,7.463636364
7.675403,7.417272727
7.605915455,7.274545455
9.885013364,7.283636364
8.614756909,7.577272727
9.302774545,7.411818182
9.313223455,7.499090909
8.268494455,7.409090909
10.22912618,7.387272727
10.766048,7.39
9.366727455,7.671818182
10.57421073,7.227272727
7.797463273,7.55
8.234070364,7.385454545
9.032343455,7.327272727
9.877024091,7.398181818
10.01106982,7.410909091
6.333021727,7.346363636
7.930051727,7.523636364
7.893110727,7.483636364
7.467052091,7.558181818
9.844396545,7.456363636
5.779557545,7.429090909
9.722885727,7.530909091
9.848032636,7.230909091
9.843523091,7.476363636
5.271103545,7.646363636
6.459765091,7.272727273
5.638910636,7.380909091
5.398457273,7.613636364
5.48181,7.6
5.746450273,7.596363636
9.121371636,7.575454545
9.802344364,7.355454545
9.126088091,7.526363636
7.853807818,7.486363636
10.11212327,7.546363636
7.281933545,7.522727273
8.772821818,7.53
9.451564636,7.526363636
8.734187818,7.642727273
8.379071,7.382727273
8.92122,7.519090909
7.452117364,7.325454545
7.976895455,7.581818182
7.252919,7.766363636
7.923309455,7.405454545
6.286675273,7.411818182
7.073923727,7.508181818
7.516039455,7.39
6.559652727,7.741818182
7.503063455,7.440909091
7.894377182,7.425454545
7.971568273,7.409090909
6.928256545,7.633636364
10.036267,7.620909091
10.034038,7.554545455
9.319024,7.495454545
9.683323182,7.526363636
9.434083182,7.625454545
9.991062273,7.574545455
9.091056364,7.559090909
9.860953909,7.366363636
9.613203273,7.659090909
9.694984727,7.280909091
9.610716,7.640909091
9.229870909,7.661818182
9.437602455,7.571818182
6.182452909,7.677272727
7.492184364,7.74
7.152277545,7.601818182
7.478735,7.666363636
7.067116545,7.364545455
8.903825364,7.453636364
9.892219545,7.414545455
9.451536909,7.558181818
10.31234255,7.526363636
9.897262,7.318181818
9.622555909,7.358181818
9.749595364,7.499090909
9.87524,7.508181818
9.592397545,7.542727273
9.230980273,7.481818182
9.129268091,7.270909091
8.509300818,7.461818182
9.313315273,7.698181818
8.287231545,7.493636364
8.880310818,7.571818182
8.321825091,7.421818182
7.850335091,7.683636364
9.911203364,7.353636364
9.821151818,7.528181818
9.966443818,7.419090909
9.554961909,7.565454545
9.055378182,7.618181818
9.394589182,7.550909091
9.307354545,7.488181818
8.314116364,7.533636364
8.946628727,7.412727273
9.358047545,7.395454545
8.907431091,7.636363636
8.477947818,7.456363636
8.644496636,7.35
8.710914,7.397272727
9.444571545,7.220909091
8.360518636,7.288181818
8.317803364,7.283636364
9.262294,7.249090909
8.662194727,7.414545455
8.859888273,7.337272727
8.941349818,7.450909091
8.641836,7.493636364
9.172581545,7.191818182
9.022131909,7.155454545
8.903054091,7.282727273
7.704747364,7.364545455
7.673473182,7.270909091
8.277694727,7.353636364
9.298196727,7.374545455
9.374584273,7.349090909
7.962933364,7.293636364
7.474738455,7.268181818
7.644734,7.350909091
7.859505273,7.238181818
7.804151909,7.260909091
10.66296018,7.34
10.216265,7.365454545
10.03580255,7.225454545
11.30026745,7.257272727
9.830088909,7.480909091
10.66531409,7.4
10.00129964,7.154545455
7.769214364,7.346363636
7.596819727,7.398181818
8.173104727,7.361818182
8.827123727,7.365454545
9.217286,7.367272727
7.202089,7.314545455
